Humid,Temp,Time
55,29.9,30:33:00
55,30,30:38:00
55,29.9,31:19:00
55,29.9,31:24:00
54,30.1,31:29:00
51,30.6,31:34:00
51,30.9,31:39:00
50,30.8,31:44:00
50,30.8,31:49:00
50,30.8,31:54:00
50,30.7,31:59:00
50,30.7,32:04:00
50,30.7,32:09:00
50,30.6,32:15:00
50,30.6,32:19:00
50,30.6,32:25:00
50,30.6,32:30:00
50,30.5,32:35:00
50,30.5,32:40:00
50,30.4,32:45:00
51,30.4,32:50:00
51,30.3,32:55:00
51,30.3,33:00:00
51,30.3,33:05:00
51,30.3,33:11:00
51,30.3,33:15:00
51,30.2,33:21:00
51,30.2,33:26:00
51,30.2,33:31:00
50,30.1,33:36:00
50,30.1,33:41:00
50,30.1,33:46:00
51,30.1,33:51:00
51,30.1,33:56:00
51,30.1,34:01:00
51,30.1,34:06:00
51,30.1,34:13:00
51,30.1,34:18:00
51,30,34:23:00
51,30,34:28:00
51,30,34:33:00
51,30,34:38:00
51,29.9,34:43:00
51,29.9,34:48:00
51,29.9,34:53:00
51,29.9,34:58:00
51,29.9,35:04:00
51,29.9,35:09:00
51,29.9,35:14:00
51,29.9,35:19:00
51,29.9,35:24:00
51,29.9,35:29:00
51,29.9,35:34:00
51,29.9,35:39:00
51,29.9,35:44:00
51,29.9,35:49:00
50,29.8,35:55:00
50,29.8,36:01:00
50,29.8,36:06:00
50,29.8,36:11:00
50,29.8,36:16:00
50,29.8,36:21:00
48,31.3,36:26:00
52,29.8,36:31:00
51,29.9,36:36:00
51,29.9,36:42:00
51,29.9,36:47:00
51,29.9,36:52:00
51,29.9,36:57:00
50,29.9,37:03:00
51,29.9,37:09:00
51,29.9,37:14:00
51,29.9,37:19:00
50,29.9,37:24:00
50,29.9,37:29:00
51,29.9,37:34:00
51,29.9,37:39:00
51,29.9,37:44:00
50,29.9,37:49:00
50,29.9,37:54:00
51,29.9,37:59:00
51,29.9,38:04:00
51,29.9,38:10:00
51,29.9,38:16:00
51,29.9,38:21:00
52,29.9,38:26:00
51,29.9,38:31:00
50,29.9,38:36:00
50,29.9,38:41:00
50,29.9,38:46:00
50,29.9,38:51:00
50,29.9,38:56:00
51,29.9,39:01:00
51,29.9,39:06:00
51,29.9,39:11:00
51,29.9,39:16:00
51,30.2,39:21:00
51,30.1,39:26:00
51,30.1,39:31:00
48,30.1,39:36:00
45,31.1,39:42:00
43,33,39:46:00
42,33,39:53:00
42,33.2,39:58:00
36,33.4,40:03:00
35,35.3,40:08:00
36,35.7,40:13:00
35,36,40:18:00
35,36.2,40:23:00
35,36.4,40:28:00
34,36.6,40:34:00
34,36.8,40:39:00
33,37,40:44:00
33,37.1,40:49:00
32,37.3,40:54:00
32,37.5,40:59:00
32,37.6,41:05:00
31,37.8,41:10:00
32,37.9,41:15:00
32,38.1,41:20:00
32,38.1,41:25:00
31,38.2,41:30:00
31,38.3,41:35:00
31,38.4,59:43:00
31,38.4,59:48:00
31,38.5,59:53:00
31,38.5,59:58:00
31,38.6,0:03
31,38.6,0:08
31,38.6,0:13
30,38.6,0:19
30,38.6,0:24
30,38.6,0:29
30,38.7,0:34
30,38.7,0:39
30,38.7,0:44
31,38.7,0:49
31,38.6,0:54
31,38.6,0:59
31,38.4,19:18
31,38.2,19:27
31,38.1,19:34
31,38,19:39
31,37.8,20:21
31,37.6,20:26
32,37.4,20:31
32,37.2,20:36
33,37.1,20:41
33,36.9,20:46
33,36.7,20:52
